用户号,产品名称,推荐指数
10289,其他,0.687223511814
10289,美国,0.645872623369
10289,法国,0.644999125572
10289,大陆,0.604178109605
10289,日本,0.589053188636
10289,中国,0.567528565818
10289,其他国家,0.541657396742
10289,香港,0.536138821878
10289,台湾,0.536106106032
10289,英国,0.512660882554
10246,美国,1.37572596739
10246,法国,1.36522569822
10246,日本,1.30529719807
10246,大陆,1.30274001413
10246,中国,1.2207560764
10246,香港,1.16324067713
10246,英国,1.14616571792
10246,台湾,0.84713801488
10246,其他,0.61765959356
11291,台湾,0.851964172001
11291,其他国家,0.779270586974
11291,法国,0.765395667927
11291,大陆,0.741544798051
11291,美国,0.733267356936
11291,日本,0.726806852012
11291,中国,0.672598485997
11291,香港,0.643518726692
11037,台湾,0.652755250954
11037,其他国家,0.593020081666
11037,法国,0.578227360838
11037,日本,0.566704491009
11037,大陆,0.566561331676
11037,美国,0.559520210765
11037,英国,0.54594834642
11037,中国,0.515458531012
11043,其他,0.694052429605
11043,台湾,0.658217280884
11043,其他国家,0.612384708457
11043,法国,0.612309434115
11043,大陆,0.576983000683
11043,美国,0.572375959069
11043,日本,0.536352079289
11043,中国,0.519311284701
10929,其他,0.754729709196
10929,台湾,0.715761685715
10929,其他国家,0.665922217423
10929,法国,0.665840362248
10929,大陆,0.627425528305
10929,美国,0.622415717764
10929,日本,0.583242463482
10929,中国,0.564711883665
10929,香港,0.537804255854
10696,其他,0.620119470701
10696,台湾,0.588101610797
10696,其他国家,0.547151288686
10696,法国,0.547084032837
10696,大陆,0.515520698041
10696,美国,0.511404415055
10307,其他,0.536492730914
10307,台湾,0.508792666797
10960,台湾,0.888258899217
10960,其他,0.819696665688
10960,法国,0.799987762838
10960,美国,0.799606219162
10960,大陆,0.754406781128
10960,日本,0.743844025732
10960,中国,0.702016718938
10960,香港,0.680292550525
10960,英国,0.654308643466
10249,其他,0.664530469854
10249,台湾,0.630219591884
10249,其他国家,0.58633653696
10249,法国,0.586264464459
10249,大陆,0.552440663251
10249,美国,0.54802958507
10249,日本,0.513538003837
10939,英国,0.623905602715
10939,其他国家,0.60540369584
10939,美国,0.593027620762
10939,其他,0.592899576443
10939,法国,0.560481363937
10939,大陆,0.518269518119
10939,日本,0.518064567603
10939,中国,0.509311914987
11084,其他,0.754729709196
11084,台湾,0.715761685715
11084,其他国家,0.665922217423
11084,法国,0.665840362248
11084,大陆,0.627425528305
11084,美国,0.622415717764
11084,日本,0.583242463482
11084,中国,0.564711883665
11084,香港,0.537804255854
11087,其他,0.962434785524
11087,台湾,0.945056469209
11087,其他国家,0.905428162885
11087,美国,0.89876047462
11087,法国,0.869262904919
11087,日本,0.816570343635
11087,中国,0.795040807952
11087,香港,0.755977500461
10170,台湾,1.0021132042
10170,其他国家,0.915177993761
10170,法国,0.897383999919
10170,大陆,0.871669538589
10170,美国,0.861685730325
10170,日本,0.858383301767
10170,中国,0.791182069871
10170,香港,0.757292693692
10429,其他,1.32461883417
10429,其他国家,1.29368876716
10429,美国,1.23198678543
10429,大陆,1.15630839772
10429,日本,1.13216709306
10429,香港,1.11009419894
10429,中国,1.09349905198
10429,台湾,0.69880280461
10209,台湾,1.03336887427
10209,其他,0.992217494424
10209,其他国家,0.976991527669
10209,法国,0.929592783427
10209,日本,0.900496834506
10209,中国,0.843513513036
10209,香港,0.816316828531
10209,英国,0.598324917439
10209,大陆,0.552674587011
10209,美国,0.523490771041
11067,台湾,1.13731748581
11067,其他,1.11029568256
11067,其他国家,1.09533117152
11067,美国,1.04812373703
11067,大陆,1.00073822857
11067,日本,0.983468640697
11067,中国,0.954298618831
11067,英国,0.608103097414
11067,香港,0.548268861042
